순위,종목코드,종목명,시가총액,기준일,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),,
200,49770,동원F&B,5.13E+11,2014-01-29,1.92,24.3,1.14,,23.31,,
1,5930,삼성전자,1.99E+14,2014-02-28,5.14,,,,-1.04,,
2,5380,현대차,5.40E+13,2014-02-28,6.29,,,,1.22,,
3,12330,현대모비스,3.05E+13,2014-02-28,2.96,,,,1.44,,
4,660,SK하이닉스,2.75E+13,2014-02-28,5.3,,,,-4.39,,
5,35420,NAVER,2.69E+13,2014-02-28,20.68,,,,-4.53,,
6,5490,POSCO,2.48E+13,2014-02-28,-4.54,,,,3.52,,
7,15760,한국전력,2.38E+13,2014-02-28,8.82,,,,-0.27,,
8,270,기아차,2.25E+13,2014-02-28,2.21,,,,7.4,,
9,55550,신한지주,2.11E+13,2014-02-28,0.45,,,,5.06,,
10,32830,삼성생명,2.02E+13,2014-02-28,1.51,,,,-0.99,,
11,17670,SK텔레콤,1.75E+13,2014-02-28,1.64,,,,-0.69,,
12,51910,LG화학,1.69E+13,2014-02-28,-2.12,,,,-0.98,,
13,9540,현대중공업,1.67E+13,2014-02-28,-1.13,,,,-4.1,,
14,105560,KB금융,1.54E+13,2014-02-28,11.14,,,,-6.52,,
15,96770,SK이노베이션,1.23E+13,2014-02-28,4.3,,,,-8.61,,
16,86790,하나금융지주,1.21E+13,2014-02-28,4.77,,,,-5.88,,
17,810,삼성화재,1.12E+13,2014-02-28,-2.89,,,,0.85,,
18,33780,KT&G,1.07E+13,2014-02-28,4.55,,,,2.43,,
19,23530,롯데쇼핑,1.06E+13,2014-02-28,-9.15,,,,-1.19,,
20,66570,LG전자,9.97E+12,2014-02-28,-8.01,,,,5.75,,
21,830,삼성물산,9.83E+12,2014-02-28,10.93,-0.94,16.05,-4.98,-2.23,,
22,53000,우리금융,9.71E+12,2014-02-28,2.11,-5.86,13.68,-8.36,0.83,,
23,3550,LG,9.66E+12,2014-02-28,-2.95,,,,2.68,,
24,3600,SK,9.04E+12,2014-02-28,8.45,2.67,4.05,9.38,-0.78,,
25,86280,현대글로비스,8.79E+12,2014-02-28,4.45,,,,0.85,,
26,34220,LG디스플레이,8.71E+12,2014-02-28,-3.76,,,,8.62,,
27,4020,현대제철,7.93E+12,2014-02-28,-9.93,,,,0.44,,
28,30200,KT,7.92E+12,2014-02-28,-2.72,,,,-2.14,,
29,161390,한국타이어,7.71E+12,2014-02-28,-1.43,,,,-4.98,,
30,24110,기업은행,7.51E+12,2014-02-28,10.57,,,,0,,
31,10140,삼성중공업,7.36E+12,2014-02-28,-3.77,,,,-3.92,,
32,10950,S-Oil,7.36E+12,2014-02-28,-4.53,,,,-6.42,,
33,34730,SK C&C,7.25E+12,2014-02-28,16.94,,,,-0.34,,
34,51900,LG생활건강,7.14E+12,2014-02-28,-1.61,,,,1.2,,
35,139480,이마트,7.08E+12,2014-02-28,-1.93,,,,-1.38,,
36,11170,롯데케미칼,6.96E+12,2014-02-28,-2.64,,,,-7.39,,
37,90430,아모레퍼시픽,6.86E+12,2014-02-28,14.87,,,,7.84,,
38,35250,강원랜드,6.82E+12,2014-02-28,-7.13,,,,0.31,,
39,6400,삼성SDI,6.81E+12,2014-02-28,2.75,,,,1,,
40,720,현대건설,6.50E+12,2014-02-28,2.28,,,,-3.08,,
41,10130,고려아연,6.43E+12,2014-02-28,0.89,,,,-2.2,,
42,36460,한국가스공사,6.41E+12,2014-02-28,5.47,,,,-10.95,,
43,42660,대우조선해양,6.29E+12,2014-02-28,-3.52,,,,-4.72,,
44,88350,한화생명,5.94E+12,2014-02-28,-1.58,,,,1.02,,
45,2380,KCC,5.43E+12,2014-02-28,8.06,,,,1.94,,
46,1800,오리온,5.33E+12,2014-02-28,4.32,,,,-8.17,,
47,21240,코웨이,5.27E+12,2014-02-28,5.08,,,,7.03,,
48,9150,삼성전기,5.06E+12,2014-02-28,1.35,,,,0.59,,
49,10060,OCI,4.94E+12,2014-02-28,10.11,,,,-13.28,,
50,47050,대우인터내셔널,4.78E+12,2014-02-28,5.53,,,,-8.1,,
51,78930,GS,4.60E+12,2014-02-28,-4.53,,,,-3.13,,
52,32640,LG유플러스,4.56E+12,2014-02-28,-0.48,,,,0.48,,
53,11210,현대위아,4.35E+12,2014-02-28,5.96,,,,2.66,,
54,18880,한라비스테온공조,4.24E+12,2014-02-28,3.78,,,,14.22,,
55,36570,엔씨소프트,4.19E+12,2014-02-28,-3.78,,,,15.18,,
56,2790,아모레G,3.99E+12,2014-02-28,6.27,,,,4.6,,
57,29780,삼성카드,3.89E+12,2014-02-28,-3.17,,,,1.64,,
58,34020,두산중공업,3.84E+12,2014-02-28,1.69,,,,-1.8,,
59,1040,CJ,3.70E+12,2014-02-28,8.51,,,,4.71,,
60,5830,동부화재,3.63E+12,2014-02-28,0,,,,7.8,,
61,1300,제일모직,3.61E+12,2014-02-28,-8.26,-25.19,-19.7,-21.88,-1.6,,
62,97950,CJ제일제당,3.60E+12,2014-02-28,5.58,,,,3.83,,
63,47040,대우건설,3.38E+12,2014-02-28,26.2,,,,-2.21,,
64,69960,현대백화점,3.31E+12,2014-02-28,-1.39,,,,0.71,,
65,8770,호텔신라,3.27E+12,2014-02-28,6.25,,,,1.08,,
66,10620,현대미포조선,3.16E+12,2014-02-28,-8.67,-13.42,,,-4.11,,
67,12750,에스원,3.09E+12,2014-02-28,7.39,,,,6.88,,
68,138930,BS금융지주,3.07E+12,2014-02-28,2.92,,,,-3.14,,
69,210,대림산업,3.07E+12,2014-02-28,12.8,,,,-1.02,,
70,47810,한국항공우주,3.06E+12,2014-02-28,0.16,,,,6.69,,
71,16360,삼성증권,3.03E+12,2014-02-28,-8.86,,,,-2.91,,
72,28050,삼성엔지니어링,3.00E+12,2014-02-28,11.76,,,,-6.66,,
73,9830,한화케미칼,2.95E+12,2014-02-28,5.53,,,,-8.81,,
74,51600,한전KPS,2.91E+12,2014-02-28,19.59,,,,3.25,,
75,150,두산,2.88E+12,2014-02-28,7.39,,,,0,,
76,30000,제일기획,2.81E+12,2014-02-28,-8.94,,,,-0.61,,
77,12450,삼성테크윈,2.80E+12,2014-02-28,-0.75,,,,7.4,,
78,42670,두산인프라코어,2.79E+12,2014-02-28,5.49,4.27,,,2.23,,
79,6800,대우증권,2.79E+12,2014-02-28,-0.36,,,,-4.44,,
80,120,CJ대한통운,2.74E+12,2014-02-28,16.5,,,,-1.67,,
81,114090,GKL,2.72E+12,2014-02-28,8.91,,,,2.61,,
82,11780,금호석유,2.71E+12,2014-02-28,2.42,,,,-1.35,,
83,880,한화,2.70E+12,2014-02-28,0,,,,-11.94,,
84,1450,현대해상,2.60E+12,2014-02-28,-5.06,,,,5.67,,
85,4990,롯데제과,2.56E+12,2014-02-28,0.39,,,,-0.11,,
86,4800,효성,2.56E+12,2014-02-28,8.49,,,,4.81,,
87,64350,현대로템,2.50E+12,2014-02-28,7.3,,,,1.87,,
88,52690,한전기술,2.46E+12,2014-02-28,-1.38,,,,0.62,,
89,60980,만도,2.38E+12,2014-02-28,9.05,,,,4.15,,
90,6260,LS,2.36E+12,2014-02-28,-10.73,,,,4.92,,
91,11200,현대상선,2.27E+12,2014-02-28,-2.19,,,,-21.64,,
92,670,영풍,2.25E+12,2014-02-28,2.78,,,,-5.9,,
93,4170,신세계,2.22E+12,2014-02-28,-0.22,,,,1.55,,
94,12630,현대산업,2.20E+12,2014-02-28,18.18,,,,4.28,,
95,100,유한양행,2.20E+12,2014-02-28,1.28,,,,-7.6,,
96,139130,DGB금융지주,2.20E+12,2014-02-28,3.14,,,,-6.71,,
97,71050,한국금융지주,2.14E+12,2014-02-28,-1.28,,,,-4.16,,
98,7070,GS리테일,2.09E+12,2014-02-28,8.38,,,,1.29,,
99,73240,금호타이어,2.07E+12,2014-02-28,5.26,,,,-7.86,,
100,1740,SK네트웍스,2.07E+12,2014-02-28,3.22,,,,13.21,,
101,88980,맥쿼리인프라,2.06E+12,2014-02-28,4.74,,,,4.5,,
102,3490,대한항공,2.03E+12,2014-02-28,5.01,,,,11.15,,
103,57050,현대홈쇼핑,2.02E+12,2014-02-28,-6.41,,,,-4.46,,
104,240,한국타이어월드와이드,2.00E+12,2014-02-28,-2.49,,,,-2.56,,
105,10120,LS산전,1.90E+12,2014-02-28,-2.76,,,,6,,
106,5300,롯데칠성,1.88E+12,2014-02-28,-4.22,,,,-0.07,,
107,71840,롯데하이마트,1.87E+12,2014-02-28,1.8,,,,-9.09,,
108,2550,LIG손해보험,1.86E+12,2014-02-28,0.98,0.16,27.63,32.55,0.97,,
109,11070,LG이노텍,1.84E+12,2014-02-28,9.46,,,,9.41,,
110,6360,GS건설,1.84E+12,2014-02-28,12.13,,,,-0.7,,
111,5940,우리투자증권,1.84E+12,2014-02-28,1.54,,,,-4.34,,
112,4370,농심,1.82E+12,2014-02-28,10.54,,,,3.34,,
113,5440,현대그린푸드,1.65E+12,2014-02-28,-6.11,,,,2.96,,
114,80,하이트진로,1.65E+12,2014-02-28,12.44,,,,0.64,,
115,111770,영원무역,1.62E+12,2014-02-28,-4.58,,,,5.76,,
116,37620,미래에셋증권,1.59E+12,2014-02-28,8.12,7.35,23.01,-12.66,8.43,,
117,6280,녹십자,1.59E+12,2014-02-28,4.21,,,,-5.15,,
118,3240,태광산업,1.55E+12,2014-02-28,0.65,,,,-0.94,,
119,108670,LG하우시스,1.54E+12,2014-02-28,12.46,,,,-8.16,,
120,9240,한샘,1.53E+12,2014-02-28,28.57,,,,10.96,,
121,60,메리츠화재,1.53E+12,2014-02-28,4.15,0.67,17.58,29.74,-1,,
122,181710,NHN엔터테인먼트,1.51E+12,2014-02-28,29.97,,,,-2.52,,
123,37560,CJ헬로비전,1.40E+12,2014-02-28,-6.72,,,,1.11,,
124,7310,오뚜기,1.38E+12,2014-02-28,3.89,,,,-4.24,,
125,2350,넥센타이어,1.36E+12,2014-02-28,-4.97,,,,-6.97,,
126,1680,대상,1.36E+12,2014-02-28,11.1,,,,5.69,,
127,120110,코오롱인더,1.34E+12,2014-02-28,6.8,,,,1.87,,
128,3690,코리안리,1.32E+12,2014-02-28,1.83,,,,-7.63,,
129,6120,SK케미칼,1.30E+12,2014-02-28,7.8,,,,4.66,,
130,53210,스카이라이프,1.30E+12,2014-02-28,-2.69,,,,-10.52,,
131,128940,한미약품,1.27E+12,2014-02-28,-1.8,,,,-9.16,,
132,39490,키움증권,1.18E+12,2014-02-28,0.75,,,,-0.37,,
133,900140,코라오홀딩스,1.15E+12,2014-02-28,14.6,,,,-3.33,,
134,3620,쌍용차,1.14E+12,2014-02-28,3.36,,,,5.3,,
135,3450,현대증권,1.14E+12,2014-02-28,19.04,12.25,19.04,-25,-3.89,,
136,6040,동원산업,1.14E+12,2014-02-28,13.83,,,,-2.67,,
137,122900,아이마켓코리아,1.13E+12,2014-02-28,8.79,,,,0.63,,
138,11790,SKC,1.10E+12,2014-02-28,-1.45,,,,1.31,,
139,1120,LG상사,1.10E+12,2014-02-28,-3.9,,,,-0.53,,
140,79160,CJ CGV,1.09E+12,2014-02-28,5.86,,,,0.78,,
141,82640,동양생명,1.09E+12,2014-02-28,-7.34,,,,-0.5,,
142,4000,삼성정밀화학,1.07E+12,2014-02-28,1.6,,,,13.68,,
143,2270,롯데푸드,1.04E+12,2014-02-28,1.47,8.58,27.56,2.29,2.9,,
144,9970,영원무역홀딩스,1.01E+12,2014-02-28,2.64,,,,-9.47,,
145,20560,아시아나항공,9.99E+11,2014-02-28,-2.66,,,,-1.17,,
146,10520,현대하이스코,9.77E+11,2014-02-28,6.59,16.61,11.51,30.66,26.49,,
147,5180,빙그레,9.63E+11,2014-02-28,10.38,,,,-5.62,,
148,115390,락앤락,9.46E+11,2014-02-28,-24.56,-26.96,-26.81,-37.79,-6.98,,
149,69260,휴켐스,9.26E+11,2014-02-28,-1.31,,,,-5.74,,
150,97230,한진중공업,9.08E+11,2014-02-28,1.95,,,,3.82,,
151,170900,동아에스티,8.82E+11,2014-02-28,3.9,,,,-2.5,,
152,1430,세아베스틸,8.62E+11,2014-02-28,2.34,,,,13.31,,
153,81660,휠라코리아,8.60E+11,2014-02-28,5.62,,,,1.16,,
154,117930,한진해운,8.51E+11,2014-02-28,4.68,9.28,-21.89,-38.72,-5.81,,
155,138040,메리츠금융지주,8.43E+11,2014-02-28,-2.65,,,,5.58,,
156,69620,대웅제약,8.34E+11,2014-02-28,-1.91,,,,-1.67,,
157,39130,하나투어,8.26E+11,2014-02-28,4.4,,,,3.66,,
158,93050,LG패션,8.11E+11,2014-02-28,-3.81,,,,-0.9,,
159,11160,두산건설,8.11E+11,2014-02-28,-8.7,-11.04,-34.59,-44.3,20.42,,
160,3300,한일시멘트,8.11E+11,2014-02-28,20.78,,,,18.61,,
161,71320,지역난방공사,8.05E+11,2014-02-28,-3.87,,,,-1.58,,
162,8930,한미사이언스,7.91E+11,2014-02-28,9.43,,,,-4.49,,
163,5250,녹십자홀딩스,7.69E+11,2014-02-28,25.77,,,,-2.75,,
164,105630,한세실업,7.56E+11,2014-02-28,-1.56,,,,17.46,,
165,11760,현대상사,7.48E+11,2014-02-28,5.18,,,,-3.88,,
