순위,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가
166,018670,SK가스,2490198636000,2026-03-31,15.5,19.6,16.2,8.9,7.43,269000.0
167,192820,코스맥스,2230178518500,2026-03-31,3.4,20.6,-8.4,19.5,7.12,196500.0
168,004370,농심,2232329614000,2026-03-31,-14.7,-15.1,-14.9,-9.3,2.86,367000.0
169,097230,HJ중공업,1963923732000,2026-03-31,-14.0,3.3,-22.3,268.6,33.33,21750.0
170,001430,세아베스틸지주,2309520463600,2026-03-31,-6.8,28.3,155.6,268.4,17.24,64400.0
171,081660,미스토홀딩스,2176765440000,2026-03-31,-16.3,-4.0,6.4,8.0,-0.98,41000.0
172,030000,제일기획,2182332038250,2026-03-31,-13.6,-9.7,-6.6,5.3,5.69,18970.0
173,282330,BGF리테일,2407648105800,2026-03-31,11.6,32.9,29.0,27.3,-5.24,139300.0
174,298020,효성티앤씨,1640191478000,2026-03-31,-10.9,70.3,77.1,74.7,36.68,379000.0
175,023590,다우기술,1867847512800,2026-03-31,-20.5,11.1,17.6,118.6,7.53,43150.0
176,002790,아모레퍼시픽홀딩스,2114068677000,2026-03-31,-11.8,3.0,3.8,38.2,0.72,27650.0
177,011210,현대위아,2096740899300,2026-03-31,-23.9,1.8,59.3,74.4,7.26,77100.0
178,007340,DN오토모티브,2232189499750,2026-03-31,40.3,56.4,67.0,85.2,25.95,38150.0
179,475150,SK이터닉스,1849838317200,2026-03-31,88.5,162.3,150.8,334.1,6.81,54300.0
180,005440,현대지에프홀딩스,2143684138750,2026-03-31,-14.1,65.3,71.2,168.0,4.36,13750.0
181,395400,SK리츠,1872329596400,2026-03-31,5.2,7.4,24.2,26.6,8.68,6220.0
182,462870,시프트업,1879871597000,2026-03-31,-0.9,-9.7,-21.9,-42.5,1.56,32050.0
183,008770,호텔신라,1726917324000,2026-03-31,-8.2,-1.3,-14.4,14.3,48.86,44000.0
184,161890,한국콜마,1793985852000,2026-03-31,-0.4,22.4,-2.3,21.2,16.71,76000.0
185,001120,LX인터내셔널,1753890000000,2026-03-31,6.2,39.2,41.6,79.6,18.01,45250.0
186,003540,대신증권,1734996645750,2026-03-31,-21.4,30.6,33.5,117.3,7.66,35250.0
187,361610,SK아이이테크놀로지,1737975875000,2026-03-31,-21.6,-15.2,-19.8,-4.5,24.24,21250.0
188,007810,코리아써키트,1678783400000,2026-03-31,18.8,44.9,303.7,566.7,32.43,70000.0
189,003570,SNT다이내믹스,1606105265100,2026-03-31,-13.8,3.6,-33.2,58.4,23.81,48300.0
190,007070,GS리테일,1831002388500,2026-03-31,-0.5,9.0,31.5,53.6,7.31,21900.0
191,322000,HD현대에너지솔루션,1557920000000,2026-03-31,33.8,154.3,204.4,526.6,66.07,139100.0
192,069960,현대백화점,1792201989600,2026-03-31,-28.0,-10.6,-10.5,32.2,37.5,79200.0
193,005070,코스모신소재,1713871863600,2026-03-31,-11.6,19.2,33.2,35.8,14.15,51600.0
194,069620,대웅제약,1853852000000,2026-03-31,-9.2,-7.1,19.4,41.6,-7.31,160000.0
195,073240,금호타이어,1709198707650,2026-03-31,-14.8,1.5,25.9,25.7,-2.18,5950.0
196,006040,동원산업,0,2026-03-31,-11.7,-9.5,-16.6,9.2,1.72,37900.0
197,000500,가온전선,1612953712500,2026-03-31,-17.7,18.3,76.0,136.7,147.69,97500.0
198,006280,녹십자,0,2026-03-31,-15.5,-10.1,10.6,17.0,-4.06,142900.0
199,012630,HDC,1657832757750,2026-03-31,12.6,48.3,59.5,86.4,1.26,27750.0
200,100090,SK오션플랜트,0,2026-03-31,39.1,32.6,9.6,119.2,-8.57,26850.0
